,count,mean,std,min,25%,50%,75%,max,Category,Description
CHILD_EVER_ENROLLED_IN_HEAD,9415.0,0.18916622411046202,0.3916614057739332,0.0,0.0,0.0,0.0,1.0,Government_Inputs,Child ever enrolled in Head Start (yes/no)
CHILD_AGE_WHEN_1ST_ATTD_HEA,996.0,3.6586345381526106,0.7726062028584577,0.0,3.0,4.0,4.0,6.0,Government_Inputs,Child's age when first attended Head Start (years)
HOW_LONG_CHILD_WAS_IN_HEAD,1952.0,15.661116803278688,6.920822575249081,1.5,7.0,17.5,24.0,24.0,Government_Inputs,Duration child was in Head Start (years/months)
CH_GET_SPEC_LESSON_P2,8693.0,0.627835614862533,0.4111596445062129,0.0,0.3,0.7,1.0,1.8,Monetary_Investment, Period 2: Child receives special lessons (yes/no)
CH_GET_SPEC_LESSON_P3,8693.0,0.6236224548487288,0.48286285637758747,0.0,0.0,1.0,1.0,1.0,Monetary_Investment, Period 3: Child receives special lessons (yes/no)
CH_GET_SPEC_LESSON_P1,8693.0,0.6069538709306338,0.48340044675993105,0.0,0.0,1.0,1.0,1.0,Monetary_Investment, Period 1: Child receives special lessons (yes/no)
MUSIC_INSTMT_CH_P3,8696.0,0.5214792241643667,0.498135490446095,0.0,0.0,1.0,1.0,1.0,Monetary_Investment, Period 3: Child plays a musical instrument (yes/no)
OWN_A_HOME_COMPUTER_P0,4916.0,0.4696908055329536,0.4991312758421239,0.0,0.0,0.0,1.0,1.0,Monetary_Investment, Period 0: Home has a computer (yes/no)
OWN_A_HOME_COMPUTER_P3,4916.0,0.5292921074043938,0.49919200972216204,0.0,0.0,1.0,1.0,1.0,Monetary_Investment, Period 3: Home has a computer (yes/no)
OWN_A_HOME_COMPUTER_P2,4916.0,0.49774206672091126,0.46698202860909555,0.0,0.0,0.5,1.0,1.0,Monetary_Investment, Period 2: Home has a computer (yes/no)
OWN_A_HOME_COMPUTER_P1,4916.0,0.46974165988608624,0.4990961457959105,0.0,0.0,0.0,1.0,1.0,Monetary_Investment, Period 1: Home has a computer (yes/no)
DOES_CHILD_USE_ANY_COMPUTER_P3,2383.0,0.9122954259336971,0.28292414569400853,0.0,1.0,1.0,1.0,1.0,Monetary_Investment, Period 3: Child uses any computer (yes/no)
DOES_CHILD_USE_ANY_COMPUTER_P2,2383.0,0.8996642887117078,0.274603547088261,0.0,1.0,1.0,1.0,1.0,Monetary_Investment, Period 2: Child uses any computer (yes/no)
MUSIC_INSTMT_CH_P2,8696.0,0.5183158923643054,0.44415289141817155,0.0,0.0,0.5,1.0,1.0,Monetary_Investment, Period 2: Child plays a musical instrument (yes/no)
DOES_CHILD_USE_ANY_COMPUTER_P0,2383.0,0.8900545530843474,0.31288740413961563,0.0,1.0,1.0,1.0,1.0,Monetary_Investment, Period 0: Child uses any computer (yes/no)
DOES_CHILD_USE_ANY_COMPUTER_P1,2383.0,0.8900545530843474,0.31288740413961563,0.0,1.0,1.0,1.0,1.0,Monetary_Investment, Period 1: Child uses any computer (yes/no)
HOW_MANY_BOOKS_P0,8687.0,15.645301648056483,6.081392148737998,0.0,10.0,20.0,20.0,20.0,Monetary_Investment, Period 0: Number of books in the home
HOW_MANY_BOOKS_P1,8687.0,15.744678110970417,5.972723301448531,0.0,11.875,20.0,20.0,20.0,Monetary_Investment, Period 1: Number of books in the home
MUSIC_INSTMT_CH_P1,8696.0,0.4944035571910458,0.49580145335809467,0.0,0.0,0.1875,1.0,1.625,Monetary_Investment, Period 1: Child plays a musical instrument (yes/no)
HOW_MANY_BOOKS_P3,8687.0,15.144543570852997,6.6505788620494775,0.0,10.0,20.0,20.0,20.0,Monetary_Investment, Period 3: Number of books in the home
HOW_MANY_BOOKS_P2,8687.0,15.968907850811558,5.432402913370681,0.0,12.5,19.0,20.0,20.0,Monetary_Investment, Period 2: Number of books in the home
ASVAB_12,3541.0,8.155040948884496,3.652562080396112,0.0,5.0,8.0,11.0,20.0,Parent_Characteristics,ASVAB: section 10 - electronics information
MOMHGC_EVER_XRND,11548.0,12.931849670938691,2.600160637679194,0.0,12.0,12.0,14.0,20.0,Parent_Characteristics,Mother's highest grade completed ever (cross-round)
ASVAB_10,3541.0,9.223665631177633,4.821879770945564,0.0,6.0,8.0,12.0,25.0,Parent_Characteristics,ASVAB: section 8 - mathematics knowledge
ASVAB_9,3541.0,9.480090369951991,4.000912550252607,0.0,7.0,9.0,12.0,25.0,Parent_Characteristics,ASVAB: section 7 - auto and shop information
ASVAB_3,3541.0,12.125670714487432,4.716334056230379,0.0,9.0,12.0,15.0,25.0,Parent_Characteristics,ASVAB: section 1 - general science
AFQT_3,3541.0,29202.89579214911,24338.261882546816,0.0,8808.0,23290.0,43456.0,99785.0,Parent_Characteristics,Armed Forces Qualification Test (AFQT) percentile score - revised 2006
ASVAB_6,3541.0,9.010166619598984,3.8530798453008948,0.0,6.0,10.0,12.0,15.0,Parent_Characteristics,ASVAB: section 4 - paragraph comprehension
AFQT_2,3525.0,29.269787234042553,24.267781270958903,1.0,9.0,23.0,44.0,99.0,Parent_Characteristics,Armed Forces Qualification Test (AFQT) percentile score - revised 1989
HGC_OF_MOTHER_AS_OF_MAY_1_R,11527.0,12.08770712240826,2.4907311797453753,0.0,11.0,12.0,13.0,20.0,Parent_Characteristics,"Mother's highest grade completed as of May 1, answered yearly (number of years in school)"
HGC_REV_MOM,11527.0,12.08709985252017,2.4897943998943814,0.0,11.0,12.0,13.0,20.0,Parent_Characteristics,"Mother's highest grade completed (revised, years in school)"
ASVAB_7,3541.0,28.810223100818977,11.711292415227183,0.0,21.0,29.0,38.0,50.0,Parent_Characteristics,ASVAB: section 5 - numerical operations
ASVAB_5,3541.0,20.63908500423609,8.71955965163829,0.0,14.0,21.0,28.0,35.0,Parent_Characteristics,ASVAB: section 3 - word knowledge
ASVAB_2,3527.0,0.4729231641621775,0.4993370994674466,0.0,0.0,0.0,1.0,1.0,Parent_Characteristics,ASVAB: high school graduate status (yes/no)
MOM_RACE,11551.0,2.338239113496667,0.7803595454804042,1.0,2.0,3.0,3.0,3.0,Parent_Characteristics,"Mother's race (encoded, categorical). 1 = Hispanic, 2 = Black, 3 = Other"
ASVAB_4,3541.0,12.802598136119741,6.184019319398759,0.0,8.0,11.0,17.0,30.0,Parent_Characteristics,ASVAB: section 2 - arithmetic reasoning
AFQT_1,3525.0,30.27177304964539,25.298589426354088,1.0,10.0,23.0,46.0,99.0,Parent_Characteristics,Armed Forces Qualification Test (AFQT) percentile score - 1980
HIGHEST_DEGREE_EVER_MOM_XRND,9907.0,1.8577773291611992,1.42071605406493,1.0,1.0,1.0,2.0,8.0,Parent_Characteristics,"Highest degree ever received (cross-round, categorical)"
ASVAB_11,3541.0,9.844111832815589,4.045921072554801,0.0,7.0,9.0,12.0,25.0,Parent_Characteristics,ASVAB: section 9 - mechanical comprehension
HGC_EVER_MOM_XRND,11548.0,12.931849670938691,2.600160637679194,0.0,12.0,12.0,14.0,20.0,Parent_Characteristics,"Highest grade completed ever (cross-round, years of schooling)"
ASVAB_1,3541.0,51.15052245128495,1.156505980485943,51.0,51.0,51.0,51.0,67.0,Parent_Characteristics,ASVAB: normal/altered testing (categorical)
ASVAB_8,3541.0,40.81022310081898,17.683712621190608,0.0,29.0,43.0,53.0,84.0,Parent_Characteristics,ASVAB: section 6 - coding speed
SPOUSE_WKSWK_PCY_P-1,5196.0,46.79695919938414,11.677432246025244,0.0,49.0,52.0,52.0,52.0,Time_Investment, Period -1: Spouse's weeks worked per year (weeks)
SPOUSE_WKSWK_PCY_P0,10203.0,45.60125443871644,11.630694336282895,0.0,45.0,51.166666666666664,52.0,52.0,Time_Investment, Period 0: Spouse's weeks worked per year (weeks)
LABOR_INCOME_P2,11501.0,36078.83688326294,58332.001354075335,0.0,1838.534211279703,17606.081878041798,46435.72860005726,1125711.035213284,Time_Investment," Period 2: Income from wages, salary, commissions, and tips before taxes (USD)"
LABOR_INCOME_P1,11501.0,25390.453874780465,46866.568315282944,0.0,351.70340681362734,9527.617592327513,31457.37904380189,935255.630068709,Time_Investment," Period 1: Income from wages, salary, commissions, and tips before taxes (USD)"
WKSWK_PCY_P0,11527.0,23.823596134353487,19.19886862347774,0.0,4.541666666666666,21.166666666666668,43.666666666666664,52.0,Time_Investment, Period 0: Weeks worked per year (weeks)
LABOR_INCOME_P0,11501.0,16364.831910168576,33627.86911116683,0.0,375.01431434297166,4194.136320259567,17756.298310907532,707509.1282450617,Time_Investment," Period 0: Income from wages, salary, commissions, and tips before taxes (USD)"
LABOR_INCOME_P-1,8251.0,14470.597124890224,25639.50287953273,0.0,0.0,4576.0091611795015,19262.5250501002,801717.2997423419,Time_Investment," Period -1: Income from wages, salary, commissions, and tips before taxes (USD)"
SPOUSE_HRSWK_PCY_P3,10136.0,43.13005389378136,12.305753791223147,0.0,40.0,40.0,49.3,114.5,Time_Investment, Period 3: Spouse's hours worked per year (hours)
SPOUSE_HRSWK_PCY_P2,10136.0,43.13690492169572,11.954811723307747,0.0,40.0,40.5,49.0,122.4,Time_Investment, Period 2: Spouse's hours worked per year (hours)
SPOUSE_HRSWK_PCY_P1,10136.0,43.12820829354448,11.696229573091577,0.0,40.0,40.625,48.5,114.625,Time_Investment, Period 1: Spouse's hours worked per year (hours)
SPOUSE_HRSWK_PCY_P0,10136.0,42.89721372958029,10.730480295297829,0.0,40.0,41.17857142857143,47.5,112.58333333333333,Time_Investment, Period 0: Spouse's hours worked per year (hours)
SPOUSE_HRSWK_PCY_P-1,5023.0,43.537328289866615,11.576428203609925,0.0,40.0,40.0,50.0,112.0,Time_Investment, Period -1: Spouse's hours worked per year (hours)
SPOUSE_WKSWK_PCY_P3,10203.0,46.082951136768166,12.964432597692465,0.0,49.0,52.0,52.0,52.0,Time_Investment, Period 3: Spouse's weeks worked per year (weeks)
SPOUSE_WKSWK_PCY_P2,10203.0,46.15327980513289,12.397473631767955,0.0,48.0,52.0,52.0,52.0,Time_Investment, Period 2: Spouse's weeks worked per year (weeks)
SPOUSE_WKSWK_PCY_P1,10203.0,45.89023042903006,12.287408303261232,0.0,47.166666666666664,52.0,52.0,52.0,Time_Investment, Period 1: Spouse's weeks worked per year (weeks)
WKSWK_PCY_P3,11527.0,34.00086785201342,20.83361098061353,0.0,13.8,46.0,52.0,53.0,Time_Investment, Period 3: Weeks worked per year (weeks)
HRSWK_PCY_P-1,8525.0,1046.2452785923754,926.8653550827428,0.0,0.0,960.0,1976.0,4992.0,Time_Investment, Period -1: Hours worked per week (hours)
HRSWK_PCY_P0,11526.0,864.1186307585921,786.2158547034695,0.0,121.33333333333333,663.25,1522.625,4368.0,Time_Investment, Period 0: Hours worked per week (hours)
HRSWK_PCY_P1,11526.0,1060.035796163666,888.4040945974396,0.0,121.0,995.875,1900.0,5877.0,Time_Investment, Period 1: Hours worked per week (hours)
HRSWK_PCY_P2,11526.0,1218.1117268141516,900.2681278409012,0.0,288.075,1305.0,2028.0,6436.3,Time_Investment, Period 2: Hours worked per week (hours)
HRSWK_PCY_P3,11526.0,1326.8101563184036,951.4858954482995,0.0,360.0,1516.9,2080.0,8647.6,Time_Investment, Period 3: Hours worked per week (hours)
TNFI_TRUNC_P-1,7221.0,53582.32793752263,134797.13951979193,0.0,12085.274549098196,27264.72945891784,57990.26624677927,2169345.51961065,Time_Investment, Period -1: Total net family income (from NLSY79) (USD)
TNFI_TRUNC_P0,11388.0,67699.05771710449,121308.83308717913,0.0,15619.324410726216,32564.32045042466,72973.55025527245,1852426.084168337,Time_Investment, Period 0: Total net family income (from NLSY79) (USD)
TNFI_TRUNC_P1,11388.0,92764.66530734616,151695.45854621095,0.0,22113.057328943603,48407.228528485546,103647.43862725452,2169345.51961065,Time_Investment, Period 1: Total net family income (from NLSY79) (USD)
WKSWK_PCY_P2,11527.0,32.113781240255165,20.465505133918068,0.0,11.2,40.0,52.0,53.0,Time_Investment, Period 2: Weeks worked per year (weeks)
WKSWK_PCY_P1,11527.0,28.600419530730974,20.899431567300155,0.0,5.0,32.5,51.0,52.75,Time_Investment, Period 1: Weeks worked per year (weeks)
WKSWK_PCY_P-1,8635.0,28.37243775332947,22.038787590628125,0.0,0.0,33.0,52.0,52.0,Time_Investment, Period -1: Weeks worked per year (weeks)
LABOR_INCOME_P3,11501.0,49429.26961036366,76650.85173345116,0.0,2206.2410535356435,26321.50014314343,65442.43515602635,1125711.035213284,Time_Investment," Period 3: Income from wages, salary, commissions, and tips before taxes (USD)"
DO_PARS_DISCUSS_TV_P2,8647.0,0.80254905362168,0.33566278645893716,0.0,0.7,1.0,1.0,1.0,Time_Investment, Period 2: Do parents discuss TV programs with child (yes/no)
PARS_HELP_W_HOMEWORK_P2,7044.0,0.5201466664575586,0.5843624416656485,0.0,0.11507479861910244,0.34522439585730724,1.5,1.5,Time_Investment," Period 2: Parents help child with homework (frequency, times per week)"
HOW_OFTEN_MOM_READS_P0,9064.0,2.5948569857176733,2.317479284841561,0.0,1.0,1.1507479861910241,3.0,7.0,Time_Investment," Period 0: How often mother reads to child (frequency, times per week)"
HOW_OFTEN_MOM_READS_P1,9064.0,2.3512049921917284,2.0279715046056266,0.0,1.0,1.75,3.0,7.0,Time_Investment," Period 1: How often mother reads to child (frequency, times per week)"
HOW_OFT_CH_EATS_W_P0,8501.0,5.993339268802375,4.830499738348116,0.0,1.0,7.0,7.0,14.0,Time_Investment," Period 0: How often child eats with family (frequency, times per week)"
HOW_OFT_CH_EATS_W_P1,8501.0,5.9797306862565005,4.784624263528562,0.0,1.0,7.0,7.0,14.0,Time_Investment," Period 1: How often child eats with family (frequency, times per week)"
HOW_OFT_CH_EATS_W_P2,8501.0,5.739190475661903,4.185272228636909,0.0,2.261104718066743,5.5,7.115074798619102,14.0,Time_Investment," Period 2: How often child eats with family (frequency, times per week)"
HOW_OFT_CH_EATS_W_P3,8501.0,5.505632742861498,4.671548255926842,0.0,0.9071346375143843,7.0,7.0,14.0,Time_Investment," Period 3: How often child eats with family (frequency, times per week)"
MOM_HELPS_CH_LEARN_NUMBERS_P0,3759.0,0.988560787443469,0.09975622595377291,0.0,1.0,1.0,1.0,1.0,Time_Investment, Period 0: Mother helps child learn numbers (yes/no)
MOM_HELPS_CH_LEARN_ALPHABET_P0,3685.0,0.9847127996381727,0.11351667450544671,0.0,1.0,1.0,1.0,1.0,Time_Investment, Period 0: Mother helps child learn alphabet (yes/no)
MOM_HELPS_CH_LEARN_COLORS_P0,3754.0,0.986680873734683,0.10634688626338684,0.0,1.0,1.0,1.0,1.0,Time_Investment, Period 0: Mother helps child learn colors (yes/no)
MOM_HELPS_CH_LEARN_SHAPES_P0,3400.0,0.9596078431372548,0.18562607429963865,0.0,1.0,1.0,1.0,1.0,Time_Investment, Period 0: Mother helps child learn shapes (yes/no)
HOW_OFT_CH_TAKEN_TO_MUSEUM_P0,8477.0,0.07785915065006907,0.13587169711743707,0.0,0.0,0.028846153846153844,0.1346153846153846,1.0,Time_Investment," Period 0: How often child is taken to a museum (frequency, times per week)"
HOW_OFT_CH_TAKEN_TO_MUSEUM_P1,8477.0,0.07720076199783903,0.13063123560004872,0.0,0.01201923076923077,0.028846153846153848,0.1346153846153846,1.0,Time_Investment," Period 1: How often child is taken to a museum (frequency, times per week)"
HOW_OFT_CH_TAKEN_TO_MUSEUM_P2,8477.0,0.07287333762804526,0.10827379152869986,0.0,0.014423076923076924,0.028846153846153848,0.10936753120297424,1.0,Time_Investment," Period 2: How often child is taken to a museum (frequency, times per week)"
HOW_OFT_CH_TAKEN_TO_MUSEUM_P3,8477.0,0.06702132569197658,0.11994379594264058,0.0,0.0,0.028846153846153848,0.1346153846153846,1.0,Time_Investment," Period 3: How often child is taken to a museum (frequency, times per week)"
HOW_OFT_CH_TAKEN_TO_PERFORMANCE_P1,8689.0,0.05379906556140038,0.11033694948832878,0.0,0.0,0.028846153846153848,0.028846153846153848,1.0,Time_Investment," Period 1: How often child is taken to performances (frequency, times per week)"
HOW_OFT_CH_TAKEN_TO_PERFORMANCE_P2,8689.0,0.05414066728682655,0.09419811391429743,0.0,0.0028846153846153848,0.028846153846153848,0.07884615384615384,1.0,Time_Investment," Period 2: How often child is taken to performances (frequency, times per week)"
HOW_OFT_CH_TAKEN_TO_PERFORMANCE_P3,8689.0,0.05443023960521531,0.11896627806082583,0.0,0.0,0.028846153846153848,0.028846153846153848,1.0,Time_Investment," Period 3: How often child is taken to performances (frequency, times per week)"
PARS_HELP_W_HOMEWORK_P1,7044.0,0.5201466664575586,0.5843624416656485,0.0,0.11507479861910243,0.34522439585730724,1.5,1.5,Time_Investment," Period 1: Parents help child with homework (frequency, times per week)"
PARS_HELP_W_HOMEWORK_P0,7044.0,0.5201466664575586,0.5843624416656485,0.0,0.11507479861910243,0.3452243958573073,1.5,1.5,Time_Investment," Period 0: Parents help child with homework (frequency, times per week)"
IF_LOW_GRADES_P3,8465.0,4.42005316007088,1.0578241924918015,1.0,4.0,5.0,5.0,5.0,Time_Investment," Period 3: If low grades, mother would help child with schoolwork (1 = very likely, 5 = not at all likely)"
IF_LOW_GRADES_P2,8465.0,4.238446741484544,1.1645980119595403,1.0,4.0,5.0,5.0,5.0,Time_Investment," Period 2: If low grades, mother would help child with schoolwork (1 = very likely, 5 = not at all likely)"
IF_LOW_GRADES_P1,8465.0,4.132315908643434,1.4485700575702118,1.0,4.0,5.0,5.0,5.0,Time_Investment," Period 1: If low grades, mother would help child with schoolwork (1 = very likely, 5 = not at all likely)"
DO_PARS_DISCUSS_TV_P3,8647.0,0.787513974017964,0.40720717680968477,0.0,1.0,1.0,1.0,1.0,Time_Investment, Period 3: Do parents discuss TV programs with child (yes/no)
PARS_HELP_W_HOMEWORK_P3,7044.0,0.45152821260281417,0.4926675580528205,0.0,0.11507479861910244,0.2761795166858458,0.6916570771001151,1.5,Time_Investment," Period 3: Parents help child with homework (frequency, times per week)"
TNFI_TRUNC_P2,11388.0,118203.66935988532,176717.93988092686,0.0,29779.755367878617,64972.140706555976,138388.13512739766,2563776.858257229,Time_Investment, Period 2: Total net family income (from NLSY79) (USD)
HOW_OFT_CH_W_DAD_OUTDOORS_P3,7732.0,2.6215055495843216,2.6441724836918756,0.057692307692307696,0.23014959723820488,1.0,4.0,7.0,Time_Investment," Period 3: How often child spends time outdoors with father (frequency, times per week)"
HOW_OFT_CH_W_DAD_OUTDOORS_P2,7732.0,2.736449265795019,2.394287172709769,0.057692307692307696,0.7690448791714615,1.9,4.0,7.0,Time_Investment," Period 2: How often child spends time outdoors with father (frequency, times per week)"
HOW_OFT_CH_W_DAD_OUTDOORS_P1,7732.0,2.832065364175114,2.6476808694911607,0.057692307692307696,1.0,1.0,4.0,7.0,Time_Investment," Period 1: How often child spends time outdoors with father (frequency, times per week)"
HOW_OFT_CH_SPEND_TIME_W_DAD_P3,8498.0,2.189772103239978,1.703085263436719,1.0,1.0,1.0,3.0,7.0,Time_Investment," Period 3: How often child spends time with father (frequency, times per week)"
HOW_OFT_CH_SPEND_TIME_W_DAD_P2,8498.0,2.114908605946497,1.5151849904148242,1.0,1.0,1.3,3.0,7.0,Time_Investment," Period 2: How often child spends time with father (frequency, times per week)"
HOW_OFT_CH_SPEND_TIME_W_DAD_P1,8498.0,2.0352499607750847,1.5874041549691031,1.0,1.0,1.0,3.0,7.0,Time_Investment," Period 1: How often child spends time with father (frequency, times per week)"
DO_PARS_DISCUSS_TV_P1,8647.0,0.8139889557071817,0.385587926625027,0.0,1.0,1.0,1.0,1.0,Time_Investment, Period 1: Do parents discuss TV programs with child (yes/no)
TNFI_TRUNC_P3,11388.0,143729.66858415035,211319.03967647388,0.0,34351.503006012026,79741.96915516749,173703.61580303466,3118396.9536859794,Time_Investment, Period 3: Total net family income (from NLSY79) (USD)
