,count,mean,std,min,25%,50%,75%,max,Category,Description
HOW_OFT_CH_TAKEN_TO_MUSEUM,33908.0,0.07373864399198249,0.12420220483302832,0.0,0.008653846153846154,0.028846153846153848,0.1346153846153846,1.0,Time_Investment,"How often child is taken to a museum (frequency, times per week)"
MUSIC_INSTMT_CH,26088.0,0.5113995579065727,0.4801441314666997,0.0,0.0,0.5,1.0,1.625,Monetary_Investment,Child plays a musical instrument (yes/no)
CH_GET_SPEC_LESSON,26079.0,0.6194706468806318,0.4604635000329548,0.0,0.0,1.0,1.0,1.8,Monetary_Investment,Child receives special lessons (yes/no)
HOW_OFT_CH_TAKEN_TO_PERFORMANCE,26067.0,0.054123324151147414,0.10831743654237151,0.0,0.0,0.028846153846153848,0.060576923076923084,1.0,Time_Investment,"How often child is taken to performances (frequency, times per week)"
HOW_OFT_CH_SPEND_TIME_W_DAD,25494.0,2.11331022332052,1.6049376326922697,1.0,1.0,1.0,3.0,7.0,Time_Investment,"How often child spends time with father (frequency, times per week)"
HOW_OFT_CH_W_DAD_OUTDOORS,23196.0,2.7300067265181513,2.566125646234965,0.057692307692307696,0.8233173076923076,1.0,4.0,7.0,Time_Investment,"How often child spends time outdoors with father (frequency, times per week)"
DO_PARS_DISCUSS_TV,25941.0,0.8013506611156084,0.3774850705602672,0.0,1.0,1.0,1.0,1.0,Time_Investment,Do parents discuss TV programs with child (yes/no)
PIAT_MATH,36932.0,39.413015812845224,18.341551130642998,0.0,24.0,42.0,52.0,84.0,Child_Human_Capital,Child's PIAT math score (total raw score)
PIAT_READ_REC,36880.0,43.067398770788145,20.503427712138414,0.0,24.0,43.0,59.0,84.0,Child_Human_Capital,Child's PIAT reading recognition score (total raw score)
PIAT_READ_COMP,36796.0,38.66713207051491,17.207946765675945,0.0,23.0,41.0,51.0,84.0,Child_Human_Capital,Child's PIAT reading comprehension score (total raw score)
PPVT,37916.0,83.47312963744419,33.81698728528704,0.0,56.0,89.0,110.0,171.0,Child_Human_Capital,Child's Peabody Picture Vocabulary Test score (total raw score)
CHILD_EVER_ENROLLED_IN_HEAD,37660.0,0.17930452292441137,0.37959348249629005,0.0,0.0,0.0,0.0,1.0,Government_Inputs,Child ever enrolled in Head Start (yes/no)
HOW_LONG_CHILD_WAS_IN_HEAD,7808.0,15.314061699538934,6.946786857486805,1.5,7.0,17.5,18.3125,24.0,Government_Inputs,Duration child was in Head Start (years/months)
IF_LOW_GRADES,25395.0,4.263605270066287,1.2403793784297026,1.0,4.0,5.0,5.0,5.0,Time_Investment,"If low grades, mother would help child with schoolwork (1 = very likely, 5 = not at all likely)"
TYPE_OF_SCHOOL,28864.0,1.4566836428307464,1.355637673470445,1.0,1.0,1.0,1.0,11.0,Educational_Support,Type of school attended by child (categorical)
CH_ATTENDS_PUBLIC_PRIV_RELI,33548.0,1.1404167607039237,0.4530916058029179,1.0,1.0,1.0,1.0,4.0,Educational_Support,"Child attends public, private, or religious school (categorical)"
CHILD_AGE_WHEN_1ST_ATTD_HEA,3984.0,3.6489551957831323,0.7636031980466448,0.0,3.0,4.0,4.0,6.0,Government_Inputs,Child's age when first attended Head Start (years)
IS_SCHOOL_GIFTED_HANDICAPPED,23392.0,1.1589100974692204,0.7029204314836011,1.0,1.0,1.0,1.0,5.0,Educational_Support,School is for gifted/handicapped children (yes/no)
OWN_A_HOME_COMPUTER,19664.0,0.4916166598860862,0.4918747061617168,0.0,0.0,0.3,1.0,1.0,Monetary_Investment,Home has a computer (yes/no)
PARS_HELP_W_HOMEWORK,28176.0,0.5029920529938725,0.5635947753266564,0.0,0.11507479861910243,0.34522439585730724,0.6916570771001151,1.5,Time_Investment,"Parents help child with homework (frequency, times per week)"
DOES_CHILD_USE_ANY_COMPUTER,9532.0,0.8980172052035249,0.29642583321364907,0.0,1.0,1.0,1.0,1.0,Monetary_Investment,Child uses any computer (yes/no)
MOMHGC_EVER_XRND,57740.0,12.931849670938691,2.6000705701105753,0.0,12.0,12.0,14.0,20.0,Parent_Characteristics,Mother's highest grade completed ever (cross-round)
HGC_YEARLY_CHILD,32060.0,8.630611353711789,2.8580489948242835,0.0,8.0,9.0,10.0,95.0,Educational_Attainment,Child's highest grade completed each year (years)
HGC_DLI_XRND,43365.0,5.4321457396517925,2.6086375863974505,1.0,3.0,6.0,7.0,14.0,Educational_Attainment,Highest grade completed ever (cross-round)
ASSOCIATES_XRND,43365.0,0.14850686037126715,0.355605805445509,0.0,0.0,0.0,0.0,1.0,Educational_Attainment,Child ever received associate's degree (yes/no)
BA_XRND,43365.0,0.11161074599331258,0.31489057451483315,0.0,0.0,0.0,0.0,1.0,Educational_Attainment,Child ever received bachelor's degree (yes/no)
BS_XRND,43365.0,0.13789922748760522,0.3447981613354824,0.0,0.0,0.0,0.0,1.0,Educational_Attainment,Child ever received bachelor of science degree (yes/no)
MASTERS_XRND,43365.0,0.05672777585610515,0.23132438105245479,0.0,0.0,0.0,0.0,1.0,Educational_Attainment,Child ever received master's degree (yes/no)
PROFDEGREE_XRND,43365.0,0.006226219301279834,0.07866127497633423,0.0,0.0,0.0,0.0,1.0,Educational_Attainment,Child ever received professional degree (yes/no)
UNEMPR_TOTAL,12867.0,4644.281676485827,10196.947043751228,0.0,683.5584311480104,2228.2759805324936,5477.21271113656,221097.55511022045,,Total unemployment compensation received by R (USD)
UNEMPSP_TOTAL,10707.0,5139.499409901547,12683.35345125535,0.0,1061.6341253936444,2649.584168336674,5548.391067849986,398973.03177784145,,Total unemployment compensation received by spouse (USD)
AFDC_TOTAL,17025.0,5059.262114529629,8130.149263784113,0.0,1683.0346407099914,3699.778986544518,6679.1371314056705,200137.49098196396,,Total Aid to Families with Dependent Children (AFDC) received by R (USD)
FDSTMPS_TOTAL,23280.0,2705.310595002874,3175.308607601373,0.0,801.9884113465026,2019.6415688519899,3738.4769539078166,74920.52447752649,,Total food stamps received by R (USD)
SSI_TOTAL,12203.0,5754.282615408201,7649.318723344619,0.0,1284.0,4016.6768279415983,7364.729458917836,200137.49098196396,,Total Supplemental Security Income (SSI) received by R (USD)
WELFARE_AMT,25221.0,6165.981039373848,7543.971190647521,0.0,1292.194388777555,4008.6458631548817,8686.704981391356,200838.25250501002,,"Aggregation of AFDC_TOTAL, FDSTMPS_TOTAL, and SSI_TOTAL (defined as 'WELFARE' by the survey) (USD)"
MOTHER_BIRTH_MONTH,13376.0,6.339750299043064,3.4108099401340826,1.0,3.0,6.0,9.0,12.0,,"Month of mother's birth (month, 1-12)"
MOTHER_BIRTH_YEAR,13376.0,59.29811166766348,1.941395230817712,55.0,58.0,59.0,61.0,64.0,,Year of mother's birth (year)
SPOUSE_WKSWK_PCY,46008.0,46.02962277007985,12.261427723897075,0.0,47.6,52.0,52.0,52.0,Time_Investment,Spouse's weeks worked per year (weeks)
SPOUSE_HRSWK_PCY,45567.0,43.124269146094065,11.675175717733708,0.0,40.0,40.0,48.333333333333336,122.4,Time_Investment,Spouse's hours worked per year (hours)
LABOR_INCOME,54255.0,29178.014403711513,54218.331513525656,0.0,434.33414447943505,10270.54108216433,35822.96020612654,1125711.035213284,Time_Investment,"Income from wages, salary, commissions, and tips before taxes (USD)"
MOM_RACE,57755.0,2.338239113496667,0.7803325214454374,1.0,2.0,3.0,3.0,3.0,Parent_Characteristics,"Mother's race (encoded, categorical). 1 = Hispanic, 2 = Black, 3 = Other"
URBAN_RURAL,53634.0,0.7643018278582241,0.4008337351494451,0.0,0.625,1.0,1.0,1.0,Parent_Characteristics,"Urban or rural residence (categorical). 1 = Urban, 0 = Rural"
WKSWK_PCY,54743.0,29.43556598392504,20.94304812512738,0.0,6.0,34.25,51.6,53.0,Time_Investment,Weeks worked per year (weeks)
HRSWK_PCY,54629.0,1106.185625760892,905.1215316653354,0.0,152.0,1070.0,1957.5,8647.6,Time_Investment,Hours worked per week (hours)
HGC_REV_MOM,54881.0,12.473818417511135,2.476885020717817,0.0,12.0,12.0,14.0,20.0,Parent_Characteristics,"Mother's highest grade completed (revised, years in school)"
TNFI_TRUNC,52773.0,98481.71830947594,167374.01762969673,0.0,21118.174467983587,48497.25164614945,109925.34783853423,3118396.9536859794,Time_Investment,Total net family income (from NLSY79) (USD)
ASVAB_1,12202.0,51.15751516144894,1.1845955453195463,51.0,51.0,51.0,51.0,67.0,Parent_Characteristics,ASVAB: normal/altered testing (categorical)
ASVAB_2,12164.0,0.4639098980598487,0.4987163037187167,0.0,0.0,0.0,1.0,1.0,Parent_Characteristics,ASVAB: high school graduate status (yes/no)
ASVAB_3,12202.0,12.09375512211113,4.709656658629064,0.0,9.0,12.0,15.0,25.0,Parent_Characteristics,ASVAB: section 1 - general science
ASVAB_4,12202.0,12.712342238977216,6.154715909671279,0.0,8.0,11.0,16.0,30.0,Parent_Characteristics,ASVAB: section 2 - arithmetic reasoning
ASVAB_5,12202.0,20.54048516636617,8.769795364722292,0.0,13.0,21.0,28.0,35.0,Parent_Characteristics,ASVAB: section 3 - word knowledge
ASVAB_6,12202.0,8.961891493197836,3.865826899506012,0.0,6.0,10.0,12.0,15.0,Parent_Characteristics,ASVAB: section 4 - paragraph comprehension
ASVAB_7,12202.0,28.57687264382888,11.747167072253275,0.0,20.0,29.0,37.0,50.0,Parent_Characteristics,ASVAB: section 5 - numerical operations
ASVAB_8,12202.0,40.427388952630714,17.802332789574535,0.0,28.0,43.0,53.0,84.0,Parent_Characteristics,ASVAB: section 6 - coding speed
ASVAB_9,12202.0,9.471725946566137,4.026943367307083,0.0,7.0,9.0,12.0,25.0,Parent_Characteristics,ASVAB: section 7 - auto and shop information
ASVAB_10,12202.0,9.127602032453696,4.772767217472148,0.0,6.0,8.0,12.0,25.0,Parent_Characteristics,ASVAB: section 8 - mathematics knowledge
ASVAB_11,12202.0,9.80183576462875,4.042524946149415,0.0,7.0,9.0,12.0,25.0,Parent_Characteristics,ASVAB: section 9 - mechanical comprehension
ASVAB_12,12202.0,8.145304048516637,3.667021045850067,0.0,5.0,8.0,11.0,20.0,Parent_Characteristics,ASVAB: section 10 - electronics information
AFQT_1,12144.0,29.935606060606062,25.219542721571788,1.0,9.0,22.0,46.0,99.0,Parent_Characteristics,Armed Forces Qualification Test (AFQT) percentile score - 1980
AFQT_2,12144.0,28.933300395256918,24.171448289332336,1.0,9.0,22.0,44.0,99.0,Parent_Characteristics,Armed Forces Qualification Test (AFQT) percentile score - revised 1989
AFQT_3,12202.0,28652.186035076218,24181.248428598243,0.0,8576.0,22811.5,42586.0,99785.0,Parent_Characteristics,Armed Forces Qualification Test (AFQT) percentile score - revised 2006
HGC_EVER_MOM_XRND,57740.0,12.931849670938691,2.6000705701105753,0.0,12.0,12.0,14.0,20.0,Parent_Characteristics,"Highest grade completed ever (cross-round, years of schooling)"
HIGHEST_DEGREE_EVER_MOM_XRND,49535.0,1.8577773291611992,1.4206586896390059,1.0,1.0,1.0,2.0,8.0,Parent_Characteristics,"Highest degree ever received (cross-round, categorical)"
NUM_OLDER_SIBLINGS,57755.0,0.953943381525409,1.138026764764027,0.0,0.0,1.0,1.0,10.0,,"Number of older siblings, based on ID's in NLSCYA (count)"
NUM_CHILDREN,57755.0,2.9319539433815254,1.4287366977154514,1.0,2.0,3.0,4.0,11.0,,"Total number of children in the family, based on ID's in NLSCYA (count)"
TRANSFER_INCOME,34908.0,6091.909744751739,9285.621722022544,0.0,1216.5941883767534,3751.7775551102204,8256.734612081305,311052.11222444894,Government_Inputs,"Total income received from government transfers (aggregation of UNEMPR_TOTAL, UNEMPSP_TOTAL, WELFARE_AMT) (USD)"
MOTHER_AGE,13598.0,1923.5800951120261,11.500002147902876,1915.0,1920.0,1922.0,1923.0,1986.0,,Mother's age at survey year (years)
